ID,Name,Code,Price,Market Cap,Supply,Logo
1,Bitcoin,BTC,"$27,949.33","$545,128,083,467","19,507,287 BTC",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
2,Ethereum,ETH,"$1,634.15","$196,478,432,751","120,247,521 ETH",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
3,Tether USDt,USDT,$1.00,"$83,529,495,317","83,474,442,138 USDT",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
4,BNB,BNB,$212.00,"$32,603,501,104","153,845,780 BNB",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
5,XRP,XRP,$0.5222,"$27,884,767,443","53,387,299,665 XRP",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
6,USDC,USDC,$0.9999,"$25,535,017,475","25,535,934,425 USDC",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
7,Solana,SOL,$23.41,"$9,696,961,584","414,238,358 SOL",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
8,Cardano,ADA,$0.2583,"$9,078,006,239","35,148,516,886 ADA",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
9,Dogecoin,DOGE,$0.0614,"$8,677,149,291","141,322,626,384 DOGE",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
10,TRON,TRX,$0.08797,"$7,829,856,615","89,006,514,408 TRX",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
11,Toncoin,TON,$2.07,"$7,095,031,891","3,431,892,088 TON",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png
12,Dai,DAI,$0.9994,"$5,344,990,293","5,347,888,596 DAI",https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png
13,Polygon,MATIC,$0.5626,"$5,232,206,800","9,299,803,031 MATIC",https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png
14,Polkadot,DOT,$4.06,"$4,998,305,064","1,231,539,977 DOT",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
15,Litecoin,LTC,$65.77,"$4,849,815,126","73,737,633 LTC",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png
16,Wrapped Bitcoin,WBTC,"$27,990.93","$4,564,363,494","163,106 WBTC",https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png
17,Bitcoin Cash,BCH,$231.01,"$4,507,447,690","19,525,600 BCH",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png
18,Shiba Inu,SHIB,$0.000007254,"$4,274,827,503","589,346,914,631,298 SHIB",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png
19,Chainlink,LINK,$7.62,"$4,242,363,912","556,849,970 LINK",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png
20,Avalanche,AVAX,$10.42,"$3,693,291,095","354,410,824 AVAX",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png
21,UNUS SED LEO,LEO,$3.83,"$3,562,415,122","929,109,783 LEO",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png
22,TrueUSD,TUSD,$0.9995,"$3,418,355,272","3,419,808,631 TUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png
23,Stellar,XLM,$0.1109,"$3,080,736,752","27,767,633,584 XLM",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png
24,Monero,XMR,$155.38,"$2,849,450,804","18,341,863 XMR",https://s2.coinmarketcap.com/static/img/coins/64x64/328.png
